0	1
abadi	abadi
abadi	mengabadi
abadi	mengabadikan
abadi	pengabadian
abadi	keabadian
mengabaikan	mengabaikan
mengabaikan	terabai
mengabaikan	terabaikan
mengabaikan	abaian
mengabaikan	pengabai
mengabaikan	pengabaian
berabarkan	berabarkan
berabarkan	mengabar
berabarkan	terabar
berabarkan	abaran
abdi	abdi
abdi	mengabdi
abdi	mengabdikan
abdi	pengabdi
abdi	pengabdian
abjad	abjad
abjad	berabjad
abjad	mengabjad
abjad	mengabjadkan
abjad	pengabjadan
absah	absah
absah	mengabsahkan
absah	pengabsahan
absah	keabsahan
mengabu	mengabu
mengabu	mengabui
mengabu	mengabukan
mengabu	perabuan
mengabu	memperabukan
mengabu	pengabuan
acara	acara
acara	beracara
acara	mengacara
acara	mengacarakan
acara	memerkarakanpengacara
acara	kepengacaraan
mengaci-acikan	mengaci-acikan
mengaci-acikan	aci-acian
mengaci-acikan	aci-acinya
mengaco	mengaco
mengaco	acoan
mengaco	aco-acoan
mengacu	mengacu
mengacu	mengacu-acu
mengacu	mengacukan
mengacu	acuan
mengacu	pengacuan
mengacum	mengacum
mengacum	acuman
mengacum	pengacum
saja	saja
saja	berada
saja	berada-ada
saja	keberadaan
saja	mengada-ada
saja	mengadakan
saja	pengada
saja	pengadaan
saja	keadaan
saja	adanya
saja	ada-adanya
saja	ada-adanyakah
saja	seadanya
beradab	beradab
beradab	mengadabi
beradab	peradaban
beradab	memperadabkan
beradab	keadaban
mengadang	mengadang
mengadang	mengadangi
mengadang	mengadang-adangi
mengadang	mengadangkan
mengadang	diadang
mengadang	pengadang
mengadang	pengadangan
adaptasi	adaptasi
adaptasi	beradaptasi
adaptasi	mengadaptasikan
adaptasi	pengadaptasian
beradat	beradat
beradat	mengadatkan
beradat	teradat
adegan	adegan
adegan	beradegan
adegan	pengadeganan
beradik	beradik
beradik	adik-beradik
beradik	beradik-berkakak
beradik	memperadik
mengadili	mengadili
mengadili	teradil
mengadili	teradili
mengadili	peradilan
mengadili	pengadil
mengadili	pengadilan
mengadili	keadilan
mengadili	berkeadilan
adopsi	adopsi
adopsi	mengadopsi
adopsi	pengadopsi
adopsi	pengadopsian
beradu	beradu
beradu	mengadu
beradu	mengadukan
beradu	memperadukan
beradu	aduan
beradu	pengadu
beradu	pengaduan
beradu	peraduan
domba	domba
domba	mengadu
domba	mengadudombakan
domba	teradu
domba	memperadudombakan
domba	pengadu
domba	pengadudombaan
untung	untung
untung	mengadu
untung	pengadu
mengaduk	mengaduk
mengaduk	mengadukkan
mengaduk	mengaduk-aduk
mengaduk	teraduk
mengaduk	adukan
mengaduk	aduk-adukan
mengaduk	pengaduk
mengaduk	pengadukan
beradun	beradun
beradun	mengadunkan
beradun	adunan
beradun	pengadun
beraga	beraga
beraga	mengagakan
beraga	keagaan
beragah	beragah
beragah	beragah-agah
beragah	mengagah
agaknya	agaknya
agaknya	beragak-agak
agaknya	mengagak-agak
agaknya	diagak
agaknya	mengagakkan
agaknya	teragak
agaknya	seagak
agaknya	seagak-agak
agama	agama
agama	beragama
agama	keberagamaan
agama	mengagamakan
agama	keagamaan
beragih	beragih
beragih	mengagih
beragih	mengagihkan
beragih	peragih
beragih	pengagihan
agitasi	agitasi
